241918.5335175764,1.0195357665738756e-46
271437.0590443892,1.0799469435357283e-46
304557.3894292557,1.143937726039712e-46
341719.01133365516,1.211720216151966e-46
383415.0369021819,1.2835190842356453e-46
430198.74706111714,1.3595723135964592e-46
482690.93322015676,1.4401319892627435e-46
541588.1347972512,1.5254651335135212e-46
607671.8818734962,1.6158545909228465e-46
681819.0656224638,1.7115999658531768e-46
765013.5741233272,1.8130186155045356e-46
858359.3479578774,1.9204467018104257e-46
963095.0288313365,2.0342403056666176e-46
1.080610395595243e6,2.154776607185439e-46
1.2124648057684046e6,2.282455135887801e-46
1.360407887263798e6,2.4176990949756057e-46
1.5264027548879287e6,2.560956764074979e-46
1.7126520596816083e6,2.7127029850983236e-46
1.9216272167610354e6,2.8734407361513213e-46
2.156101199494796e6,3.043702798700459e-46
2.419185335175764e6,3.224053523527943e-46
2.7143705904438924e6,3.4150907013262406e-46
3.0455738942925567e6,3.6174475441340864e-46
3.4171901133365515e6,3.831794784179394e-46
3.834150369021819e6,4.0588428970876936e-46
4.301987470611171e6,4.299344456824368e-46
4.8269093322015675e6,4.554096630175896e-46
5.415881347972512e6,4.8239438190390785e-46
6.0767188187349625e6,5.109780459275862e-46
6.818190656224639e6,5.412553985411383e-46
7.650135741233272e6,5.733267971000532e-46
8.583593479578774e6,6.0729854550743064e-46
9.630950288313365e6,6.43283246569007e-46
1.0806103955952428e7,6.814001752265171e-46
1.2124648057684047e7,7.217756739065754e-46
1.360407887263798e7,7.645435712954258e-46
1.5264027548879288e7,8.098456259277309e-46
1.7126520596816085e7,8.578319960594902e-46
1.9216272167610355e7,9.08661737382955e-46
2.156101199494796e7,9.625033302326922e-46
2.419185335175764e7,1.0195352380308443e-45
2.7143705904438924e7,1.079946498822162e-45
3.0455738942925565e7,1.143937351859866e-45
3.417190113336551e7,1.2117199013188542e-45
3.8341503690218195e7,1.2835188193365821e-45
4.3019874706111714e7,1.3595720907116647e-45
4.826909332201568e7,1.440131801728547e-45
5.415881347972512e7,1.5254649757231464e-45
6.0767188187349625e7,1.6158544581587832e-45
6.818190656224638e7,1.7115998541461028e-45
7.650135741233271e7,1.8130185215147255e-45
8.583593479578775e7,1.9204466227278138e-45
9.630950288313365e7,2.0342402391268428e-45
1.0806103955952406e8,2.1547765511991596e-45
1.2124648057684022e8,2.2824550887811038e-45
1.360407887263795e8,2.4176990553401678e-45
1.5264027548879257e8,2.5609567307257548e-45
1.7126520596816048e8,2.712702957038255e-45
1.9216272167610314e8,2.873440712541504e-45
2.1561011994948003e8,3.043702778834964e-45
2.419185335175759e8,3.2240535068127054e-45
2.714370590443887e8,3.415090687261578e-45
3.0455738942925626e8,3.6174475322993724e-45
3.4171901133365446e8,3.831794774220611e-45
3.834150369021827e8,4.058842888707041e-45
4.301987470611163e8,4.299344449771072e-45
4.826909332201558e8,4.554096624238804e-45
5.415881347972502e8,4.82394381404028e-45
6.07671881873495e8,5.1097804550654976e-45
6.818190656224625e8,5.412553981862848e-45
7.650135741233256e8,5.733267968006962e-45
8.583593479578757e8,6.072985452545019e-45
9.630950288313345e8,6.43283246354788e-45
1.0806103955952406e9,6.814001750443987e-45
1.212464805768402e9,7.21775673750852e-45
1.3604078872638006e9,7.645435711610713e-45
1.5264027548879256e9,8.098456258102453e-45
1.712652059681612e9,8.57831995954734e-45
1.9216272167610316e9,9.086617372869176e-45
2.1561011994948e9,9.625033301413575e-45
2.419185335175769e9,1.0195352379399691e-44
2.7143705904438868e9,1.07994649872698e-44
3.045573894292563e9,1.1439373517548144e-44
3.4171901133365445e9,1.2117199011971896e-44
3.834150369021827e9,1.283518819189838e-44
4.301987470611162e9,1.359572090528999e-44
4.826909332201558e9,1.4401318014959217e-44
5.415881347972524e9,1.525464975422179e-44
6.07671881873495e9,1.6158544577652194e-44
6.818190656224652e9,1.711599853627819e-44
7.650135741233287e9,1.8130185208290762e-44
8.583593479578757e9,1.9204466218181063e-44
9.630950288313385e9,2.0342402379176114e-44
1.0806103955952406e10,2.1547765495899212e-44
1.212464805768407e10,2.2824550866379194e-44
1.360407887263795e10,2.41769905248445e-44
1.5264027548879257e10,2.5609567269195687e-44
1.712652059681612e10,2.712702951964268e-44
1.9216272167610394e10,2.87344070577658e-44
2.1561011994948e10,3.043702769814981e-44
2.419185335175759e10,3.224053494785364e-44
2.714370590443887e10,3.415090671223621e-44
3.045573894292563e10,3.617447510913105e-44
3.4171901133365444e10,3.83179474570222e-44
3.834150369021827e10,4.0588428506776486e-44
4.3019874706111626e10,4.2993443990584237e-44
4.826909332201578e10,4.554096556612741e-44
5.4158813479725235e10,4.823943723859707e-44
6.076718818734975e10,5.109780334808057e-44
6.818190656224653e10,5.412553821497242e-44
7.650135741233257e10,5.733267754156117e-44
8.583593479578757e10,6.072985167370478e-44
9.630950288313385e10,6.432832083261773e-44
1.080610395595245e11,6.81400124332438e-44
1.2124648057684071e11,7.217756061253624e-44
1.3604078872637952e11,7.645434809810564e-44
1.5264027548879257e11,8.098455055532655e-44
1.712652059681612e11,8.578318355894875e-44
1.9216272167610315e11,9.086615234364424e-44
2.1561011994948e11,9.625030449672021e-44
2.419185335175759e11,1.0195348576541625e-43
2.714370590443887e11,1.079945991607798e-43
3.045573894292563e11,1.1439366755006404e-43
3.417190113336544e11,1.2117189993979503e-43
3.834150369021827e11,1.283517616621595e-43
4.301987470611163e11,1.3595704868790619e-43
4.8269093322015576e11,1.4401296629953755e-43
5.415881347972523e11,1.5254621236875346e-43
6.07671881873495e11,1.6158506549187398e-43
6.818190656224653e11,1.7115947824552391e-43
7.650135741233256e11,1.813011758319637e-43
8.583593479578757e11,1.920437603880128e-43
9.630950288313385e11,2.0342282123262736e-43
1.0806103955952406e12,2.154760513243475e-43
1.2124648057684072e12,2.282433701888968e-43
1.3604078872637952e12,2.4176705355687255e-43
1.5264027548879258e12,2.560918699177963e-43
1.7126520596816118e12,2.7126522414525976e-43
1.9216272167610315e12,2.8733730827205574e-43
2.1561011994948e12,3.043612593856755e-43
2.4191853351757593e12,3.2239332446162958e-43
2.7143705904438867e12,3.414930317402837e-43
3.045573894292563e12,3.617233679612861e-43
3.4171901133365444e12,3.831509603722375e-43
3.834150369021827e12,4.0584626188862224e-43
4.3019874706111626e12,4.2988373705323445e-43
4.826909332201558e12,4.553420454625704e-43
5.415881347972523e12,4.8230421801101456e-43
6.076718818734975e12,5.108578195423699e-43
6.818190656224652e12,5.410950891456428e-43
